title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
$,1971,121,NA,6.4,348,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
$1000 a Touchdown,1939,71,NA,6.0,20,0.0,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
$21 a Day Once a Month,1941,7,NA,8.2,5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,44.5,24.5,24.5,,0,1,0,0,0,0,1
"$40,000",1996,70,NA,8.2,6,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,45.5,,0,0,1,0,0,0,0
"$50,000 Climax Show, The",1975,71,NA,3.4,17,24.5,4.5,0.0,14.5,14.5,4.5,0.0,0.0,0.0,24.5,,0,0,0,0,0,0,0
$pent,2000,91,NA,4.3,45,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,14.5,,0,0,0,1,0,0,0
$windle,2002,93,NA,5.3,200,4.5,0.0,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,R,1,0,0,1,0,0,0
'15',2002,25,NA,6.7,24,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,1,0,1
'38,1987,97,NA,6.6,18,4.5,4.5,4.5,0.0,0.0,0.0,34.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
'49-'17,1917,61,NA,6.0,51,4.5,0.0,4.5,4.5,4.5,44.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
'68,1988,99,NA,5.4,23,4.5,0.0,4.5,14.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
'94 du bi dao zhi qing,1994,96,NA,5.9,53,4.5,0.0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
"'?' Motorist, The",1906,10,NA,7.0,44,4.5,0.0,0.0,0.0,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,1,0,0,0,1
'A',1965,10,NA,6.7,11,14.5,0.0,0.0,0.0,0.0,14.5,4.5,4.5,14.5,24.5,,0,0,0,0,0,0,1
'A' gai waak,1983,106,NA,7.1,1259,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG-13,1,0,1,0,0,0,0
'A' gai waak juk jaap,1987,101,NA,7.2,614,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,1,0,0,0,0
'Breaker' Morant,1980,107,NA,7.9,2718,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
'Bullitt': Steve McQueen's Commitment to Reality,1968,10,NA,6.6,37,0.0,0.0,4.5,4.5,4.5,14.5,44.5,14.5,4.5,4.5,,0,0,0,0,1,0,1
'Crocodile' Dundee II,1988,110,NA,5.0,7252,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,1,0,0,0,0
'E',1981,7,NA,8.6,15,0.0,0.0,0.0,0.0,4.5,4.5,0.0,14.5,24.5,45.5,,0,1,1,0,0,0,1
'El Chicko' - der Verdacht,1995,90,NA,3.9,10,24.5,14.5,24.5,14.5,0.0,14.5,14.5,0.0,0.0,24.5,,0,0,1,0,0,0,0
'G' Men,1935,85,450000,7.2,281,0.0,4.5,4.5,4.5,4.5,14.5,34.5,34.5,4.5,4.5,,0,0,0,1,0,0,0
'Gator Bait,1974,88,NA,3.5,100,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
'Gator Bait II: Cajun Justice,1988,95,NA,3.1,54,24.5,14.5,4.5,14.5,4.5,14.5,0.0,4.5,0.0,4.5,,0,0,0,0,0,0,0
"'High Sign', The",1921,18,NA,7.8,145,0.0,0.0,4.5,0.0,4.5,14.5,24.5,24.5,24.5,14.5,,0,0,1,0,0,0,1
'Hukkunud Alpinisti' hotell,1979,80,NA,7.7,45,4.5,0.0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
"'Hyp-Nut-Tist', The",1935,6,NA,6.2,18,4.5,0.0,0.0,24.5,0.0,24.5,14.5,14.5,14.5,0.0,,0,1,1,0,0,0,1
'I Do...',1989,86,NA,6.2,10,0.0,0.0,0.0,24.5,24.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
'I Know Where I'm Going!',1945,92,NA,7.7,825,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,1,0
'Java Madness' formerly titled 'Coffee Madness',1995,7,NA,6.8,10,0.0,14.5,0.0,0.0,14.5,14.5,34.5,0.0,14.5,34.5,,0,0,1,0,0,0,1
"'Je vous salue, Marie'",1985,105,NA,6.4,322,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
'Kaash',1987,140,NA,5.9,13,4.5,4.5,0.0,0.0,24.5,24.5,0.0,24.5,0.0,14.5,,0,0,0,1,0,0,0
'M' Word,1996,99,NA,4.6,6,14.5,0.0,14.5,14.5,14.5,0.0,14.5,0.0,0.0,14.5,,0,0,1,0,0,1,0
"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,19,NA,7.3,21,4.5,0.0,0.0,4.5,4.5,4.5,4.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
'Manos' the Hands of Fate,1966,74,19000,1.6,7996,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
'Merci la vie',1991,117,NA,7.2,251,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
'Neath Brooklyn Bridge,1942,61,NA,6.1,114,0.0,0.0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,1,0,0,0
'Neath Canadian Skies,1946,41,NA,5.4,7,14.5,0.0,14.5,14.5,0.0,24.5,0.0,14.5,0.0,14.5,,0,0,0,0,0,0,1
'Neath the Arizona Skies,1934,52,NA,4.6,105,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"'Night, Mother",1986,96,NA,6.8,364,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
'O re,1989,90,NA,3.9,8,0.0,14.5,14.5,0.0,0.0,34.5,0.0,14.5,14.5,14.5,,0,0,1,0,0,0,0
'Pimpernel' Smith,1941,120,NA,7.2,139,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
'R Xmas,2001,83,NA,4.9,288,14.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
'Round Midnight,1986,133,NA,7.3,902,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
"'Sheba, Baby'",1975,90,NA,5.5,91,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,15,NA,5.3,5,0.0,0.0,0.0,0.0,64.5,0.0,24.5,0.0,0.0,24.5,,0,0,0,0,0,0,1
"'Teddy' Bears, The",1907,15,NA,5.8,23,4.5,4.5,4.5,0.0,4.5,14.5,24.5,24.5,4.5,4.5,,0,1,0,0,0,0,1
'Til There Was You,1997,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1,0
'Til We Meet Again,1940,99,NA,6.3,83,4.5,4.5,0.0,4.5,14.5,24.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,1,0
'What's Your 'I.Q.'?' Number Two,1940,9,NA,5.9,9,0.0,0.0,14.5,14.5,24.5,24.5,14.5,0.0,14.5,14.5,,0,0,0,0,1,0,1
"'burbs, The",1989,101,NA,6.0,7641,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
(A)Torzija,2002,13,NA,7.2,71,4.5,0.0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,1
(Entre nous),2002,82,NA,4.8,22,14.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,0.0,0.0,,0,0,0,1,0,0,0
(Haru),1996,118,NA,6.6,19,4.5,0.0,14.5,0.0,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
(Paris: XY),2001,80,NA,1.4,6,14.5,0.0,14.5,0.0,14.5,14.5,14.5,14.5,0.0,0.0,,0,0,0,1,0,0,0
(T)Raumschiff Surprise - Periode 1,2004,87,NA,5.6,1275,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
*Corpus Callosum,2002,92,NA,4.9,36,24.5,14.5,4.5,4.5,0.0,4.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
*batteries not included,1987,106,NA,5.7,4148,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
+1 -1,1987,7,NA,9.4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,45.5,,0,1,1,0,0,0,1
-30-,1959,96,NA,6.3,43,4.5,4.5,0.0,4.5,14.5,4.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
-But the Flesh Is Weak,1932,77,NA,5.8,32,4.5,4.5,4.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
...4 ...3 ...2 ...1 ...morte,1967,95,NA,3.6,67,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
...All the Marbles,1981,113,NA,5.6,348,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,1,1,0,1,0
...Almost,1990,84,NA,5.3,38,0.0,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,1,0
...And Justice for All,1979,119,NA,7.0,2610,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
...And Millions Die!,1973,93,NA,4.4,23,14.5,0.0,4.5,34.5,24.5,14.5,0.0,0.0,0.0,14.5,,0,0,0,0,0,0,0
...Because She Disobeyed,1935,104,NA,6.0,11,0.0,0.0,0.0,0.0,14.5,14.5,0.0,4.5,34.5,14.5,,0,0,1,1,0,0,0
"...Belpaese, Il",1977,109,NA,5.2,11,4.5,0.0,0.0,0.0,34.5,34.5,4.5,4.5,0.0,0.0,,0,0,1,1,0,0,0
...Comme elle respire,1998,106,NA,6.1,103,4.5,4.5,0.0,4.5,14.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
...Is It the Design on the Wrapper?,1997,8,NA,2.6,14,24.5,0.0,0.0,0.0,4.5,4.5,24.5,4.5,0.0,24.5,,0,0,0,0,0,0,1
...Ja teeb trikke,1978,10,NA,7.9,7,0.0,0.0,0.0,0.0,0.0,0.0,14.5,24.5,24.5,24.5,,0,1,1,0,0,0,1
...Lost,2000,5,NA,6.2,13,4.5,0.0,0.0,4.5,24.5,34.5,24.5,4.5,0.0,0.0,,0,0,0,0,0,0,1
...Maybe This Time,1980,96,NA,5.7,8,0.0,0.0,0.0,0.0,24.5,34.5,24.5,14.5,0.0,0.0,,0,0,0,1,0,0,0
...Po prozvishchu 'Zver',1990,88,NA,4.7,11,4.5,0.0,4.5,4.5,4.5,14.5,14.5,0.0,4.5,14.5,,1,0,0,0,0,0,0
...Quando Troveja,1999,92,NA,4.6,25,4.5,0.0,4.5,14.5,24.5,14.5,24.5,14.5,4.5,0.0,,0,0,0,1,0,0,0
...To Skin a Cat,2004,22,NA,8.1,11,0.0,4.5,0.0,0.0,4.5,0.0,4.5,14.5,4.5,44.5,,0,0,1,0,0,0,1
...a tutte le auto della polizia,1975,90,NA,6.8,7,0.0,0.0,0.0,0.0,0.0,24.5,74.5,0.0,0.0,0.0,,0,0,0,0,0,0,0
...a zase ta Lucie!,1984,82,NA,5.8,19,4.5,0.0,14.5,0.0,24.5,24.5,14.5,4.5,14.5,4.5,,0,0,1,0,0,0,0
"...al fin, el mar",2005,95,NA,5.0,9,24.5,0.0,14.5,14.5,24.5,14.5,0.0,0.0,0.0,24.5,,0,0,0,1,0,1,0
...ani smrt nebere,1996,88,NA,3.6,5,44.5,24.5,0.0,0.0,0.0,24.5,0.0,24.5,0.0,0.0,,0,0,0,0,0,0,0
"...borgnes sont rois, Les",1974,15,NA,8.3,6,0.0,0.0,0.0,14.5,0.0,0.0,14.5,0.0,14.5,45.5,,0,0,0,0,0,0,1
"...dopo di che, uccide il maschio e lo divora",1971,96,NA,6.1,5,0.0,0.0,0.0,0.0,0.0,44.5,0.0,44.5,0.0,24.5,,0,0,0,1,0,0,0
...e per tetto un cielo di stelle,1968,100,NA,3.9,19,0.0,14.5,14.5,24.5,0.0,24.5,14.5,0.0,4.5,14.5,,0,0,0,0,0,0,0
...e tanta paura,1976,98,NA,5.8,20,0.0,0.0,14.5,14.5,4.5,14.5,24.5,14.5,0.0,24.5,,0,0,0,0,0,0,0
...som havets nakna vind,1968,105,NA,5.3,21,4.5,4.5,0.0,0.0,4.5,4.5,14.5,4.5,4.5,34.5,,0,0,0,1,0,1,0
...tick...tick...tick...,1970,100,NA,6.0,145,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,0,1,0,0,0
...und abends in die Scala,1958,94,NA,5.7,5,0.0,0.0,24.5,0.0,0.0,0.0,64.5,24.5,0.0,0.0,,0,0,0,0,0,0,0
...und das ist erst der Anfang,2000,95,NA,5.9,50,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,1,0
...und die Liebe lacht dazu,1957,97,NA,6.8,5,0.0,0.0,0.0,24.5,0.0,0.0,44.5,44.5,0.0,0.0,,0,0,0,0,0,0,0
...ya no puede caminar.,2001,14,NA,7.1,35,4.5,0.0,4.5,4.5,14.5,14.5,4.5,14.5,4.5,34.5,,0,0,0,0,0,0,1
.com for Murder,2002,96,5000000,3.7,271,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
00 Schneider - Jagd auf Nihil Baxter,1994,90,NA,5.9,339,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,,0,0,1,0,0,0,0
002 agenti segretissimi,1964,83,NA,3.6,6,34.5,0.0,0.0,0.0,0.0,14.5,14.5,14.5,0.0,14.5,,1,0,1,0,0,0,0
002 operazione Luna,1965,90,NA,4.7,9,14.5,14.5,0.0,14.5,0.0,0.0,24.5,0.0,24.5,24.5,,0,0,1,0,0,0,0
06,1994,87,NA,6.4,238,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,1,0
06/05,2004,117,NA,6.3,165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
07 con el 2 delante (Agente: Jaime Bonet),1966,101,NA,1.8,13,64.5,0.0,4.5,4.5,0.0,0.0,14.5,4.5,0.0,0.0,,0,0,1,0,0,0,0
08/15,1954,95,NA,4.6,65,14.5,0.0,0.0,4.5,14.5,4.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
08/15 - In der Heimat,1955,96,NA,4.2,48,14.5,4.5,0.0,4.5,14.5,24.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
08/15 - Zweiter Teil,1955,110,NA,3.7,47,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
1 Giant Leap,2002,155,NA,6.6,75,4.5,4.5,0.0,4.5,4.5,14.5,24.5,14.5,14.5,34.5,,0,0,0,0,1,0,0
1+1=3,1979,85,NA,7.5,5,0.0,0.0,0.0,0.0,0.0,0.0,44.5,44.5,0.0,24.5,,0,0,1,0,0,0,0
"1,000 Dollars a Minute",1935,70,NA,6.2,5,0.0,0.0,24.5,0.0,24.5,0.0,44.5,0.0,0.0,24.5,,0,0,1,0,0,0,0
"1,99 - Um Supermercado Que Vende Palavras",2003,72,NA,4.9,28,4.5,4.5,4.5,4.5,14.5,4.5,14.5,24.5,4.5,14.5,,0,0,1,0,1,0,0
1-2-3-4 ou Les Collants noirs,1960,125,NA,7.3,34,0.0,4.5,4.5,0.0,4.5,14.5,14.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
1. April 2000,1952,105,NA,6.9,27,4.5,0.0,0.0,14.5,14.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
1/2 Mensch,1986,48,NA,8.1,29,4.5,0.0,0.0,0.0,4.5,0.0,0.0,4.5,24.5,64.5,,0,0,0,0,1,0,0
10,1979,122,NA,5.7,3170,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
10 Magnificent Killers,1977,84,NA,2.6,9,64.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,0.0,0.0,,1,0,0,1,0,0,0
10 Rillington Place,1971,111,NA,7.2,486,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
10 Seconds,1998,10,NA,7.3,21,0.0,0.0,0.0,4.5,4.5,14.5,24.5,34.5,4.5,4.5,,0,0,0,0,0,0,1
10 Things I Hate About You,1999,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,1,0
10 Violent Women,1982,95,NA,3.8,31,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,0.0,4.5,,1,0,0,1,0,0,0
10 from Your Show of Shows,1973,92,NA,8.6,61,4.5,0.0,4.5,4.5,0.0,4.5,4.5,14.5,14.5,44.5,,0,0,1,0,0,0,0
10 jaar leuven kort,2004,240,NA,7.9,7,0.0,0.0,14.5,0.0,0.0,14.5,14.5,0.0,14.5,44.5,,0,0,0,1,0,0,1
10 on Ten,2004,88,NA,5.9,40,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
10 pesos,2003,6,NA,6.1,8,0.0,0.0,0.0,14.5,14.5,24.5,14.5,14.5,24.5,0.0,,0,0,0,0,0,0,1
10 to Midnight,1983,101,NA,5.4,530,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
10.000 dollari per un massacro,1967,100,NA,3.6,16,0.0,14.5,0.0,0.0,0.0,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
10.7,1997,28,NA,8.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,44.5,,0,0,0,0,0,0,1
100 Days,1991,161,NA,5.8,59,4.5,4.5,0.0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,1,0
100 Days,2001,100,NA,6.2,14,0.0,14.5,0.0,0.0,4.5,0.0,24.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
100 Girls,2000,90,NA,5.8,3349,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,1,0
100 Mile Rule,2002,98,1100000,5.6,181,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0
100 Pro,2001,88,NA,5.5,94,4.5,14.5,14.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
100 Proof,1997,94,140000,3.3,19,14.5,14.5,4.5,14.5,14.5,14.5,14.5,0.0,0.0,24.5,,0,0,0,1,0,0,0
100 Rifles,1969,110,NA,5.6,267,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
100 Years at the Movies,1994,9,NA,9.2,91,0.0,4.5,0.0,4.5,4.5,4.5,4.5,4.5,14.5,64.5,,0,0,0,0,1,0,1
100 minuta slave,2004,100,NA,5.9,21,14.5,4.5,4.5,4.5,4.5,0.0,4.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
1000 Boomerangs,1995,101,NA,4.6,7,45.5,14.5,0.0,0.0,0.0,14.5,0.0,14.5,0.0,0.0,,0,0,0,1,0,0,0
1000 Convicts and a Woman,1971,92,NA,6.1,10,0.0,24.5,14.5,0.0,14.5,14.5,0.0,24.5,0.0,34.5,,0,0,0,1,0,0,0
1000 Rosen,1994,95,NA,5.1,17,14.5,4.5,0.0,0.0,0.0,4.5,14.5,34.5,4.5,14.5,,0,0,0,1,0,0,0
1000 Shapes of a Female,1963,79,NA,2.2,6,0.0,45.5,0.0,14.5,0.0,0.0,0.0,14.5,0.0,14.5,,0,0,1,0,0,0,0
"10000th Day, The",1997,18,NA,8.0,5,0.0,0.0,0.0,0.0,0.0,24.5,44.5,0.0,0.0,44.5,,0,0,0,0,0,0,1
1001 Arabian Nights,1959,75,NA,5.2,59,14.5,0.0,4.5,14.5,14.5,24.5,4.5,4.5,4.5,14.5,,0,1,0,0,0,0,0
1001 Erotic Nights 2,1986,79,NA,7.7,15,14.5,0.0,0.0,0.0,4.5,4.5,14.5,14.5,4.5,44.5,,0,0,0,0,0,0,0
1001 Nights,1998,23,NA,7.3,11,0.0,0.0,0.0,0.0,0.0,14.5,0.0,24.5,14.5,34.5,,0,0,0,0,0,0,1
"1001 nuits, Les",1990,98,NA,5.1,122,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
101,1989,117,200000,7.8,299,4.5,0.0,4.5,4.5,4.5,4.5,4.5,14.5,14.5,45.5,,0,0,0,0,1,0,0
101 Dalmatians,1996,103,NA,5.5,5028,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
101 Rent Boys,2000,78,NA,6.3,83,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,100,NA,5.5,68,4.5,4.5,4.5,14.5,4.5,14.5,24.5,14.5,14.5,4.5,,0,0,1,0,0,0,0
101-vy kilometer,2001,103,200000,5.8,7,0.0,0.0,14.5,0.0,0.0,44.5,0.0,14.5,0.0,24.5,,0,0,0,1,0,0,0
101byeonjae propose,1993,112,NA,5.2,20,14.5,0.0,4.5,4.5,44.5,4.5,4.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
102 Dalmatians,2000,100,85000000,4.7,1987,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
10:10,2000,14,NA,6.0,6,0.0,0.0,0.0,14.5,14.5,34.5,14.5,14.5,0.0,0.0,,0,0,0,0,0,0,1
10:30 P.M. Summer,1966,85,NA,6.2,42,4.5,0.0,0.0,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
10e chambre - Instants d'audience,2004,105,NA,7.4,111,0.0,0.0,4.5,0.0,0.0,14.5,24.5,34.5,14.5,4.5,,0,0,0,0,1,0,0
11 Harrowhouse,1974,94,NA,6.0,177,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
11 Uhr 59,2000,11,NA,8.4,5,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,64.5,24.5,,0,0,0,0,0,0,1
"11 commandements, Les",2004,85,NA,4.7,199,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
11'09''01 - September 11,2002,134,NA,6.9,1264,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
11:11,2004,95,NA,4.3,222,14.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
11:14,2003,95,6000000,7.1,605,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,1,0,0,0
12 + 1,1969,94,NA,5.5,51,4.5,0.0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
12 Angry Men,1957,96,340000,8.7,29278,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,0,1,0,0,0
12 B,2001,150,NA,5.2,6,0.0,0.0,14.5,34.5,14.5,14.5,0.0,0.0,14.5,0.0,,0,0,0,1,0,0,0
12 Bucks,1998,86,NA,5.1,46,14.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
12 Hot Women,2003,4,NA,5.2,24,14.5,0.0,4.5,4.5,4.5,14.5,0.0,4.5,4.5,45.5,,0,0,1,0,0,0,1
12 Stops on the Road to Nowhere,1999,18,NA,7.2,24,14.5,0.0,0.0,0.0,0.0,4.5,14.5,14.5,14.5,44.5,,0,0,1,0,0,0,1
12 horas,2001,89,NA,6.2,39,24.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,,0,0,1,1,0,0,0
12 mesyatsev,1956,55,NA,8.5,14,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,24.5,64.5,,0,1,0,0,0,0,0
